rank,name,followers,er,country,topic_of_influence,potential_reach,channel_name,total_subscribers,total_views,total_videos
35,Luan Palomera @UCUl-2o1dLbH_GCoU_B_1tsg,10.1M,0.10%,Mexico,,3M,Christian Nodal,11600000,10716319553,19
36,Christian Nodal @UCtqOng3GVhQVu1Gl-3UlyAQ,10M,1.10%,Mexico,,3M,Netflix Latinoamérica,12000000,2709815698,6151
37,Netflix Latinoamérica @UC5ZiUaIJ2b5dYBYGf5iEUrA,10M,-,Mexico,,3M,BERTH-OH,10200000,1607705797,782
38,BERTH-OH @UC2IDkGu61j_mwNJOc54Sb5w,10M,-,Mexico,,3M,Cleo y Cuquin - Canciones infantiles,15500000,8669021285,1382
39,Cleo y Cuquin - Canciones infantiles @UChlTeveFUK6bvHrmCb8J99w,9.8M,-,Mexico,,3M,luisitorey,9530000,2013664275,1385
40,luisitorey @UCG8xW9RS7d_6AQigNkHPkSA,9.5M,-,Mexico,,2.9M, PONGAMOSLO A PRUEBA CORTOS,13100000,7853423973,780
41,PONGAMOSLO A PRUEBA CORTOS @UCPx9eXszFK8rkivV7tXZpHA,9.5M,-,Mexico,,2.9M,Santa Fe Klan Official,11800000,5343643140,350
42,CRACKS @CRACKSYOUTUBE,9.4M,-,Mexico,,2.8M,Rayito,9030000,549170402,426
43,Santa Fe Klan Official @UC4Ge3cqrdyOszmnJTcMICcg,9.4M,5.40%,Mexico,,2.8M,Lizbeth Rodriguez,9720000,1684041192,2181
44,Rayito @UC2APpwfAlZU8X0EezmhuXUQ,9.2M,-,Mexico,,2.8M,Ha*Ash,9880000,9015807521,300
45,Lizbeth Rodriguez @UCExB-_VCdrh90gIVSxJmpRg,9.1M,-,Mexico,,2.7M, Super JoJo - Canciones Infantiles,7650,1353329,5
46,HaAshOficial @UC6kb0evup3Kgbz0N067E9wA,8.9M,0.50%,Mexico,,2.7M,Karol Sevilla,8540000,857591397,295
47,Super JoJo - Canciones Infantiles @UCzn4afrl9JbfP6sVj5lPrYw,8.9M,-,Mexico,,2.7M,MARIANA,18300000,2875683452,630
48,Karol Sevilla @UCt3-Ge4aevIeHYTIOUdpvJQ,8.6M,1%,Mexico,,2.6M,Cartoon Network LA,9950000,3866516793,4868
49,MARIANA @UCwm_7WWX8mQ1kjSRzAnD0iQ,8.6M,-,Mexico,,2.6M,elmayo97,10100000,1377540762,1883
50,Cartoon Network LA @UCQySZQ6rrgJXRuonMwIIGMA,8.4M,-,Mexico,,2.5M,Susy Mouriz,27300000,11987063500,1927
